time,Open,Close,Low,High,volume,complete
2023-07-19 21:00:00+00:00,79.573,79.719,78.763,80.307,36782,True
2023-07-20 21:00:00+00:00,79.714,80.727,79.524,81.234,35305,True
2023-07-23 21:00:00+00:00,80.879,82.754,80.411,83.060,41720,True
2023-07-24 21:00:00+00:00,82.754,83.050,82.105,83.626,37292,True
2023-07-25 21:00:00+00:00,83.055,82.775,82.371,83.583,41168,True
2023-07-26 21:00:00+00:00,82.770,83.552,82.720,84.249,45260,True
2023-07-27 21:00:00+00:00,83.557,84.610,83.003,84.645,41094,True
2023-07-30 21:00:00+00:00,84.476,85.463,84.044,85.714,37435,True
2023-07-31 21:00:00+00:00,85.458,85.889,84.398,85.919,38539,True
2023-08-01 21:00:00+00:00,85.894,83.576,82.866,86.119,51438,True
2023-08-02 21:00:00+00:00,83.571,85.359,82.478,85.540,53289,True
2023-08-03 21:00:00+00:00,85.369,86.136,85.188,86.768,41356,True
2023-08-06 21:00:00+00:00,86.297,85.947,85.153,86.828,39596,True
2023-08-07 21:00:00+00:00,85.942,86.193,83.421,86.444,49154,True
2023-08-08 21:00:00+00:00,86.178,87.505,86.016,87.742,47459,True
2023-08-09 21:00:00+00:00,87.505,86.465,86.295,88.194,51376,True
2023-08-10 21:00:00+00:00,86.460,86.680,85.937,87.427,48930,True
2023-08-13 21:00:00+00:00,86.706,86.223,85.587,86.769,49571,True
2023-08-14 21:00:00+00:00,86.228,85.102,84.454,86.711,46524,True
2023-08-15 21:00:00+00:00,85.107,83.608,83.397,85.549,47507,True
2023-08-16 21:00:00+00:00,83.608,84.060,83.328,85.133,40623,True
2023-08-17 21:00:00+00:00,84.055,85.062,83.591,85.322,44293,True
2023-08-20 21:00:00+00:00,85.014,84.786,84.581,86.087,43051,True
2023-08-21 21:00:00+00:00,84.781,84.200,84.130,84.976,33923,True
2023-08-22 21:00:00+00:00,84.195,83.142,82.265,84.544,41339,True
2023-08-23 21:00:00+00:00,83.131,83.276,82.194,83.822,41470,True
2023-08-24 21:00:00+00:00,83.286,84.690,82.784,84.963,52436,True
2023-08-27 21:00:00+00:00,84.717,84.314,84.079,85.219,40152,True
2023-08-28 21:00:00+00:00,84.308,85.489,83.794,85.580,38304,True
2023-08-29 21:00:00+00:00,85.499,85.779,85.089,86.171,38377,True
2023-08-30 21:00:00+00:00,85.784,87.322,85.571,87.369,35675,True
2023-08-31 21:00:00+00:00,87.317,89.381,87.234,89.421,39484,True
2023-09-03 21:00:00+00:00,89.355,89.437,88.715,89.653,21658,True
2023-09-04 21:00:00+00:00,89.291,90.477,88.487,91.581,46756,True
2023-09-05 21:00:00+00:00,90.482,91.057,89.664,91.506,40915,True
2023-09-06 21:00:00+00:00,91.052,90.186,89.852,91.300,41610,True
2023-09-07 21:00:00+00:00,90.176,90.811,89.673,91.391,40058,True
2023-09-10 21:00:00+00:00,90.870,90.933,90.442,91.772,41999,True
2023-09-11 21:00:00+00:00,90.918,92.305,90.839,92.709,35708,True
2023-09-12 21:00:00+00:00,92.300,92.483,91.914,93.134,39963,True
2023-09-13 21:00:00+00:00,92.468,94.381,92.310,94.462,39262,True
2023-09-14 21:00:00+00:00,94.386,94.373,92.935,94.869,44735,True
2023-09-17 21:00:00+00:00,94.313,94.433,93.643,94.873,40265,True
2023-09-18 21:00:00+00:00,94.448,94.269,93.914,95.524,44321,True
2023-09-19 21:00:00+00:00,94.264,92.869,92.607,94.424,49317,True
2023-09-20 21:00:00+00:00,92.894,93.029,92.000,94.328,49954,True
2023-09-21 21:00:00+00:00,93.034,93.088,92.446,94.235,50368,True
2023-09-24 21:00:00+00:00,93.194,92.714,91.994,93.528,41703,True
2023-09-25 21:00:00+00:00,92.709,93.303,91.177,93.468,41632,True
2023-09-26 21:00:00+00:00,93.298,95.040,93.277,95.559,50334,True
2023-09-27 21:00:00+00:00,95.040,93.853,93.493,96.109,56437,True
2023-09-28 21:00:00+00:00,93.848,92.819,92.665,94.852,52611,True
2023-10-01 21:00:00+00:00,92.844,91.051,90.968,93.986,48759,True
2023-10-02 21:00:00+00:00,91.056,91.654,90.157,92.167,54499,True
2023-10-03 21:00:00+00:00,91.639,86.595,86.306,91.802,55010,True
2023-10-04 21:00:00+00:00,86.606,84.784,84.361,87.043,64576,True
2023-10-05 21:00:00+00:00,84.769,84.910,83.941,85.452,62509,True
2023-10-08 21:00:00+00:00,86.694,88.605,86.583,89.476,63565,True
2023-10-09 21:00:00+00:00,88.615,88.182,87.343,88.936,55820,True
2023-10-10 21:00:00+00:00,88.172,86.111,85.634,88.670,59801,True
2023-10-11 21:00:00+00:00,86.106,86.759,85.589,88.046,55139,True
2023-10-12 21:00:00+00:00,86.754,91.338,86.598,91.375,50890,True
2023-10-15 21:00:00+00:00,91.314,90.426,89.829,91.718,52252,True
2023-10-16 21:00:00+00:00,90.431,91.187,89.185,91.232,51015,True
2023-10-17 21:00:00+00:00,91.197,91.595,90.315,93.292,55924,True
2023-10-18 21:00:00+00:00,91.584,93.348,89.983,93.629,48605,True
